algorithm,instance,seed,log_path,final_best_from_log,final_best_contributor_destroy,final_best_contributor_repair,n_iterations_in_log
ALNS-A,Example14,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/14_Example14_seed1.log,6.0,destroy_random_window_20pct,repair_gecode_long,43
ALNS-A,Example14,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/14_Example14_seed2.log,5.0,destroy_random_window_20pct,repair_chuffed_long,43
ALNS-B,Example0,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/00_Example0_seed0.log,0.0,destroy_streak_around_worst_worker,repair_chuffed_fast,32
ALNS-B,Example0,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/00_Example0_seed1.log,0.0,destroy_streak_around_worst_worker,repair_gecode_fast,91
ALNS-B,Example0,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/00_Example0_seed2.log,0.0,destroy_streak_around_worst_worker,repair_chuffed_fast,64
ALNS-B,Example1,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/01_Example1_seed0.log,0.0,destroy_worst_days_10pct,repair_chuffed_long,50
ALNS-B,Example1,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/01_Example1_seed1.log,4.0,destroy_exploration,repair_exploration,79
ALNS-B,Example1,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/01_Example1_seed2.log,3.0,destroy_exploration,repair_exploration,84
ALNS-B,Example2,0,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/02_Example2_seed0.log,0.0,destroy_streak_around_worst_worker,repair_gecode_fast,7
ALNS-B,Example2,1,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/02_Example2_seed1.log,0.0,destroy_worst_days_10pct,repair_chuffed_fast,12
ALNS-B,Example2,2,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/02_Example2_seed2.log,1.0,destroy_worst_days_10pct,repair_chuffed_long,80
