algorithm,instance,instance_index,operator_type,operator_name,mean_selection_share,mean_improvement_probability,mean_acceptance_rate,mean_improving_delta
ALNS-A,Example10,10,repair,repair_exploration,0.09523809523809523,0.0,0.0,nan
ALNS-A,Example11,11,destroy,destroy_max_border_off,0.09593428014480647,0.7222222222222222,1.0,-19.666666666666668
ALNS-A,Example11,11,repair,repair_chuffed_long,0.12018472106191404,0.0,0.08333333333333333,nan
ALNS-A,Example11,11,destroy,destroy_random_window_20pct,0.2580989510814072,0.20634920634920637,0.31746031746031744,-297.0
ALNS-A,Example11,11,repair,repair_gecode_fast,0.418569572078344,0.30192307692307696,0.30192307692307696,-139.44444444444446
ALNS-A,Example11,11,destroy,destroy_all_forbidden_sequences,0.07839042049568365,0.8888888888888888,1.0,-20.666666666666668
ALNS-A,Example11,11,destroy,destroy_random_workers_20pct,0.22194374825953775,0.05555555555555555,0.05555555555555555,-49.0
ALNS-A,Example11,11,repair,repair_gecode_long,0.12689130232989881,0.13333333333333333,0.2833333333333333,-25.5
ALNS-A,Example11,11,destroy,destroy_worst_workers_30pct,0.11598440545808966,0.0,0.0,nan
ALNS-A,Example11,11,repair,repair_chuffed_fast,0.2873619233268356,0.27579365079365076,0.43452380952380953,-133.44444444444443
ALNS-A,Example11,11,destroy,destroy_max_border_shift_1,0.04179430056623038,0.6666666666666666,1.0,-393.5
ALNS-A,Example11,11,destroy,destroy_worst_days_30pct,0.04483430799220273,0.0,0.0,nan
ALNS-A,Example11,11,destroy,destroy_random_days_20pct,0.05489417989417989,0.0,0.0,nan
ALNS-A,Example11,11,destroy,destroy_streak_around_worst_worker,0.04179430056623038,0.0,0.0,nan
ALNS-A,Example11,11,destroy,destroy_worst_workers_10pct,0.05933816021535319,0.0,0.3333333333333333,nan
ALNS-A,Example11,11,destroy,destroy_exploration,0.07048872180451127,0.0,0.0,nan
ALNS-A,Example11,11,repair,repair_exploration,0.07048872180451127,0.0,0.0,nan
ALNS-A,Example11,11,destroy,destroy_max_border_shift_2,0.03571428571428571,1.0,1.0,-1.0
ALNS-A,Example12,12,destroy,destroy_streak_around_worst_worker,0.06944444444444443,0.1111111111111111,0.27777777777777773,-20.0
ALNS-A,Example12,12,repair,repair_chuffed_long,0.16087962962962962,0.21666666666666667,0.4388888888888889,-13.75
ALNS-A,Example12,12,destroy,destroy_random_days_20pct,0.13020833333333331,0.25,0.25,-163.5
ALNS-A,Example12,12,repair,repair_gecode_fast,0.32060185185185186,0.3383838383838384,0.48484848484848486,-48.94444444444445
ALNS-A,Example12,12,destroy,destroy_max_border_shift_2,0.029513888888888888,0.5,1.0,-2.0
ALNS-A,Example12,12,repair,repair_chuffed_fast,0.4178240740740741,0.20274007038712924,0.29537456008044244,-15.111111111111112
ALNS-A,Example12,12,destroy,destroy_worst_days_30pct,0.07060185185185185,0.0,0.0,nan
ALNS-A,Example12,12,destroy,destroy_random_window_20pct,0.28935185185185186,0.3325757575757576,0.4568181818181818,-15.644444444444446
ALNS-A,Example12,12,destroy,destroy_max_border_off,0.06018518518518518,1.0,1.0,-13.222222222222221
ALNS-A,Example12,12,repair,repair_gecode_long,0.13541666666666666,0.16666666666666666,0.41666666666666663,-12.5
ALNS-A,Example12,12,destroy,destroy_worst_workers_30pct,0.12037037037037036,0.08333333333333333,0.08333333333333333,-97.0
ALNS-A,Example12,12,destroy,destroy_all_forbidden_sequences,0.04976851851851852,0.6666666666666666,1.0,-9.333333333333334
ALNS-A,Example12,12,destroy,destroy_random_workers_20pct,0.19212962962962962,0.06666666666666667,0.30370370370370364,-10.0
ALNS-A,Example12,12,destroy,destroy_exploration,0.03125,0.0,0.0,nan
ALNS-A,Example12,12,repair,repair_exploration,0.03125,0.0,0.0,nan
ALNS-A,Example12,12,destroy,destroy_max_border_shift_1,0.03125,0.0,1.0,nan
ALNS-A,Example12,12,destroy,destroy_worst_workers_10pct,0.0625,1.0,1.0,-4.0
ALNS-A,Example13,13,destroy,destroy_max_border_off,0.09192239858906526,0.9166666666666666,1.0,-17.333333333333332
ALNS-A,Example13,13,repair,repair_chuffed_long,0.11703703703703704,0.125,0.625,-16.0
ALNS-A,Example13,13,destroy,destroy_random_window_20pct,0.25460317460317455,0.1851851851851852,0.25925925925925924,-106.25
ALNS-A,Example13,13,repair,repair_gecode_fast,0.4135449735449736,0.26666666666666666,0.32222222222222224,-67.27777777777777
ALNS-A,Example13,13,destroy,destroy_all_forbidden_sequences,0.041552028218694886,1.0,1.0,-37.333333333333336
ALNS-A,Example13,13,repair,repair_gecode_long,0.17756613756613757,0.2222222222222222,0.3055555555555555,-4.0
ALNS-A,Example13,13,destroy,destroy_worst_workers_30pct,0.17756613756613757,0.0,0.0,nan
ALNS-A,Example13,13,repair,repair_chuffed_fast,0.2734391534391534,0.15925925925925927,0.19629629629629627,-71.66666666666667
ALNS-A,Example13,13,destroy,destroy_random_workers_20pct,0.22462081128747793,0.0,0.08333333333333333,nan
ALNS-A,Example13,13,destroy,destroy_worst_days_30pct,0.05703703703703704,0.0,0.0,nan
ALNS-A,Example13,13,destroy,destroy_exploration,0.05742504409171076,0.0,0.0,nan
ALNS-A,Example13,13,repair,repair_exploration,0.05742504409171076,0.0,0.0,nan
ALNS-A,Example13,13,destroy,destroy_max_border_shift_1,0.04380952380952381,0.5,1.0,-168.0
ALNS-A,Example13,13,destroy,destroy_streak_around_worst_worker,0.12,0.0,0.0,nan
ALNS-A,Example13,13,destroy,destroy_random_days_20pct,0.04,0.0,0.0,nan
ALNS-A,Example13,13,destroy,destroy_worst_workers_10pct,0.047619047619047616,0.0,1.0,nan
ALNS-A,Example13,13,destroy,destroy_max_border_shift_2,0.047619047619047616,1.0,1.0,-2.0
ALNS-A,Example14,14,destroy,destroy_max_border_off,0.036076326774001195,0.6666666666666666,1.0,-8.75
ALNS-A,Example14,14,repair,repair_chuffed_long,0.10554561717352416,0.25,0.4444444444444444,-8.25
ALNS-A,Example14,14,destroy,destroy_random_window_20pct,0.3789505068574836,0.40740740740740744,0.7668350168350168,-18.3
ALNS-A,Example14,14,repair,repair_gecode_fast,0.3118664281454979,0.29734848484848486,0.6477272727272728,-27.877777777777776
ALNS-A,Example14,14,destroy,destroy_streak_around_worst_worker,0.08228980322003578,0.25,0.25,-9.0
