instance,instance_index,algorithm,seed,objective,runtime_seconds,gap_to_cp,status,timeout_hit,solver_name,log_path,source_summary
Example6,6,ALNS-A,1,1.0,189.27735033698264,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/06_Example6_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example6,6,ALNS-A,2,0.0,149.79082912000013,nan,solved,False,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/06_Example6_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example6,6,ALNS-B,0,4.0,193.9685047280218,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/06_Example6_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example6,6,ALNS-B,1,4.0,180.32515362498816,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/06_Example6_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example6,6,ALNS-B,2,1.0,180.2795391099935,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/06_Example6_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example7,7,ALNS-A,0,82.0,221.0800259099924,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/07_Example7_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example7,7,ALNS-A,1,136.0,181.13650879100896,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/07_Example7_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example7,7,ALNS-A,2,83.0,182.09254848200362,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/07_Example7_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example7,7,ALNS-B,0,83.0,229.10973248397931,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/07_Example7_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example7,7,ALNS-B,1,202.0,193.49493977200473,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/07_Example7_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example7,7,ALNS-B,2,86.0,182.35457706000307,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/07_Example7_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example8,8,ALNS-A,0,9.0,181.75657939800294,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/08_Example8_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example8,8,ALNS-A,1,22.0,181.3928225330019,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/08_Example8_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example8,8,ALNS-A,2,6.0,188.34497110798839,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/08_Example8_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example8,8,ALNS-B,0,2.0,181.21165430001565,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/08_Example8_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example8,8,ALNS-B,1,7.0,254.24728211501497,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/08_Example8_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example8,8,ALNS-B,2,10.0,272.7668426889868,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/08_Example8_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example9,9,ALNS-A,0,155.0,230.49531251200824,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/09_Example9_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example9,9,ALNS-A,1,115.0,195.29825029202038,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/09_Example9_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example9,9,ALNS-A,2,90.0,193.27836533699883,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/logs/09_Example9_seed2.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_plain/20260227-153053/summary.csv
Example9,9,ALNS-B,0,156.0,180.92830859700916,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/09_Example9_seed0.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
Example9,9,ALNS-B,1,119.0,210.6009706360055,nan,timeout,True,mixed(chuffed+gecode),/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/logs/09_Example9_seed1.log,/Users/gab/Library/Mobile Documents/com~apple~CloudDocs/QuIST/ML/Optimization/Project 2/LNS_scheduling/benchmark_alns/alns_late_phase/20260227-153053/summary.csv
