algorithm,instance,instance_index,seed,iteration,elapsed,step_runtime,operator_type,operator_name,objective_before,objective_after,delta_objective,accepted,repair_failed,used_exploration
ALNS-A,Example1,1,0,8,48.364,0.924,destroy,destroy_random_workers_20pct,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,8,48.364,0.924,repair,repair_gecode_fast,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,9,49.129,0.765,destroy,destroy_random_window_20pct,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,9,49.129,0.765,repair,repair_chuffed_long,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,10,49.688,0.558,destroy,destroy_random_window_20pct,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,10,49.688,0.558,repair,repair_gecode_fast,9.0,9.0,0.0,True,False,False
ALNS-A,Example1,1,0,11,53.085,3.397,destroy,destroy_streak_around_worst_worker,9.0,7.0,-2.0,True,False,False
ALNS-A,Example1,1,0,11,53.085,3.397,repair,repair_chuffed_fast,9.0,7.0,-2.0,True,False,False
ALNS-A,Example1,1,0,12,54.359,1.275,destroy,destroy_random_window_20pct,7.0,7.0,0.0,True,False,False
ALNS-A,Example1,1,0,12,54.359,1.275,repair,repair_chuffed_long,7.0,7.0,0.0,True,False,False
ALNS-A,Example1,1,0,13,56.138,1.779,destroy,destroy_random_workers_20pct,7.0,5.0,-2.0,True,False,False
ALNS-A,Example1,1,0,13,56.138,1.779,repair,repair_chuffed_long,7.0,5.0,-2.0,True,False,False
ALNS-A,Example1,1,0,14,64.356,8.218,destroy,destroy_worst_workers_30pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,14,64.356,8.218,repair,repair_gecode_long,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,15,64.917,0.561,destroy,destroy_all_forbidden_sequences,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,15,64.917,0.561,repair,repair_chuffed_long,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,16,68.334,3.417,destroy,destroy_worst_days_30pct,5.0,44.0,39.0,False,False,False
ALNS-A,Example1,1,0,16,68.334,3.417,repair,repair_chuffed_fast,5.0,44.0,39.0,False,False,False
ALNS-A,Example1,1,0,17,69.971,1.637,destroy,destroy_random_days_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,17,69.971,1.637,repair,repair_chuffed_long,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,18,70.818,0.847,destroy,destroy_random_workers_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,18,70.818,0.847,repair,repair_chuffed_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,19,71.678,0.861,destroy,destroy_random_workers_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,19,71.678,0.861,repair,repair_chuffed_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,20,72.31,0.632,destroy,destroy_random_window_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,20,72.31,0.632,repair,repair_gecode_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,21,75.773,3.462,destroy,destroy_streak_around_worst_worker,5.0,24.0,19.0,False,False,False
ALNS-A,Example1,1,0,21,75.773,3.462,repair,repair_chuffed_fast,5.0,24.0,19.0,False,False,False
ALNS-A,Example1,1,0,22,76.557,0.784,destroy,destroy_random_workers_20pct,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,22,76.557,0.784,repair,repair_chuffed_fast,5.0,5.0,0.0,True,False,False
ALNS-A,Example1,1,0,23,77.311,0.754,destroy,destroy_random_workers_20pct,5.0,4.0,-1.0,True,False,False
ALNS-A,Example1,1,0,23,77.311,0.754,repair,repair_chuffed_fast,5.0,4.0,-1.0,True,False,False
ALNS-A,Example1,1,0,24,78.493,1.182,destroy,destroy_random_days_20pct,4.0,3.0,-1.0,True,False,False
ALNS-A,Example1,1,0,24,78.493,1.182,repair,repair_gecode_fast,4.0,3.0,-1.0,True,False,False
ALNS-A,Example1,1,0,25,81.903,3.41,destroy,destroy_worst_days_30pct,3.0,33.0,30.0,False,False,False
ALNS-A,Example1,1,0,25,81.903,3.41,repair,repair_gecode_fast,3.0,33.0,30.0,False,False,False
ALNS-A,Example1,1,0,26,83.448,1.545,destroy,destroy_random_days_20pct,3.0,3.0,0.0,True,False,False
ALNS-A,Example1,1,0,26,83.448,1.545,repair,repair_chuffed_fast,3.0,3.0,0.0,True,False,False
ALNS-A,Example1,1,0,27,85.337,1.889,destroy,destroy_worst_workers_30pct,3.0,2.0,-1.0,True,False,False
ALNS-A,Example1,1,0,27,85.337,1.889,repair,repair_chuffed_long,3.0,2.0,-1.0,True,False,False
ALNS-A,Example1,1,0,28,86.011,0.674,destroy,destroy_streak_around_worst_worker,2.0,2.0,0.0,True,False,False
ALNS-A,Example1,1,0,28,86.011,0.674,repair,repair_gecode_fast,2.0,2.0,0.0,True,False,False
ALNS-A,Example1,1,0,29,88.306,2.295,destroy,destroy_worst_workers_30pct,2.0,1.0,-1.0,True,False,False
ALNS-A,Example1,1,0,29,88.306,2.295,repair,repair_chuffed_fast,2.0,1.0,-1.0,True,False,False
ALNS-A,Example1,1,0,30,91.437,3.131,destroy,destroy_random_days_20pct,1.0,1.0,0.0,True,False,False
