algorithm,instance,instance_index,seed,operator_type,operator_name,selection_count,selection_share,improvement_count,improvement_probability,acceptance_rate,mean_delta,mean_improving_delta
ALNS-A,Example4,4,1,destroy,destroy_random_window_20pct,10,0.23809523809523808,1,0.1,0.8,2.111111111111111,-1.0
ALNS-A,Example4,4,1,repair,repair_chuffed_fast,12,0.2857142857142857,2,0.16666666666666666,0.5,11.636363636363637,-2.0
ALNS-A,Example4,4,1,destroy,destroy_worst_workers_30pct,2,0.047619047619047616,0,0.0,0.5,11.0,nan
ALNS-A,Example4,4,1,repair,repair_gecode_fast,13,0.30952380952380953,3,0.23076923076923078,0.7692307692307693,3.6153846153846154,-2.6666666666666665
ALNS-A,Example4,4,1,destroy,destroy_worst_days_10pct,1,0.023809523809523808,1,1.0,1.0,-9.0,-9.0
ALNS-A,Example4,4,1,repair,repair_chuffed_long,10,0.23809523809523808,2,0.2,0.6,9.3,-5.0
ALNS-A,Example4,4,1,destroy,destroy_max_border_off,1,0.023809523809523808,1,1.0,1.0,-6.0,-6.0
ALNS-A,Example4,4,1,destroy,destroy_worst_workers_10pct,3,0.07142857142857142,1,0.3333333333333333,1.0,-1.0,-3.0
ALNS-A,Example4,4,1,destroy,destroy_worst_days_30pct,5,0.11904761904761904,0,0.0,0.0,23.6,nan
ALNS-A,Example4,4,1,repair,repair_gecode_long,3,0.07142857142857142,0,0.0,1.0,0.0,nan
ALNS-A,Example4,4,1,destroy,destroy_random_workers_20pct,9,0.21428571428571427,2,0.2222222222222222,1.0,-0.2222222222222222,-1.0
ALNS-A,Example4,4,1,destroy,destroy_all_forbidden_sequences,1,0.023809523809523808,1,1.0,1.0,-1.0,-1.0
ALNS-A,Example4,4,1,destroy,destroy_streak_around_worst_worker,3,0.07142857142857142,0,0.0,0.0,29.333333333333332,nan
ALNS-A,Example4,4,1,destroy,destroy_random_days_20pct,3,0.07142857142857142,0,0.0,0.3333333333333333,14.0,nan
ALNS-A,Example4,4,1,destroy,destroy_exploration,4,0.09523809523809523,0,0.0,0.75,5.25,nan
ALNS-A,Example4,4,1,repair,repair_exploration,4,0.09523809523809523,0,0.0,0.75,5.25,nan
ALNS-A,Example4,4,2,destroy,destroy_worst_workers_10pct,4,0.10256410256410256,1,0.25,1.0,-0.3333333333333333,-1.0
ALNS-A,Example4,4,2,repair,repair_gecode_long,14,0.358974358974359,3,0.21428571428571427,0.7142857142857143,5.230769230769231,-1.0
ALNS-A,Example4,4,2,destroy,destroy_all_forbidden_sequences,3,0.07692307692307693,1,0.3333333333333333,1.0,-3.6666666666666665,-11.0
ALNS-A,Example4,4,2,repair,repair_chuffed_fast,9,0.23076923076923078,1,0.1111111111111111,0.7777777777777778,4.111111111111111,-11.0
ALNS-A,Example4,4,2,destroy,destroy_random_window_20pct,8,0.20512820512820512,2,0.25,0.875,0.5,-1.0
ALNS-A,Example4,4,2,repair,repair_gecode_fast,13,0.3333333333333333,2,0.15384615384615385,0.5384615384615384,12.076923076923077,-1.0
ALNS-A,Example4,4,2,destroy,destroy_streak_around_worst_worker,1,0.02564102564102564,0,0.0,0.0,15.0,nan
ALNS-A,Example4,4,2,destroy,destroy_worst_days_30pct,6,0.15384615384615385,0,0.0,0.0,34.5,nan
ALNS-A,Example4,4,2,destroy,destroy_random_days_20pct,2,0.05128205128205128,0,0.0,0.5,3.0,nan
ALNS-A,Example4,4,2,destroy,destroy_random_workers_20pct,10,0.2564102564102564,2,0.2,1.0,-0.2,-1.0
ALNS-A,Example4,4,2,repair,repair_chuffed_long,1,0.02564102564102564,0,0.0,1.0,0.0,nan
ALNS-A,Example4,4,2,destroy,destroy_worst_workers_30pct,3,0.07692307692307693,0,0.0,0.0,14.666666666666666,nan
ALNS-A,Example4,4,2,destroy,destroy_exploration,2,0.05128205128205128,1,0.5,1.0,-0.5,-1.0
ALNS-A,Example4,4,2,repair,repair_exploration,2,0.05128205128205128,1,0.5,1.0,-0.5,-1.0
ALNS-A,Example5,5,0,destroy,destroy_streak_around_worst_worker,1,0.018518518518518517,0,0.0,1.0,nan,nan
ALNS-A,Example5,5,0,repair,repair_chuffed_long,12,0.2222222222222222,3,0.25,0.75,4.454545454545454,-2.6666666666666665
ALNS-A,Example5,5,0,destroy,destroy_worst_days_10pct,1,0.018518518518518517,1,1.0,1.0,-19.0,-19.0
ALNS-A,Example5,5,0,repair,repair_chuffed_fast,17,0.3148148148148148,5,0.29411764705882354,0.5882352941176471,5.9411764705882355,-5.8
ALNS-A,Example5,5,0,destroy,destroy_random_window_20pct,27,0.5,11,0.4074074074074074,0.8888888888888888,2.3703703703703702,-2.1818181818181817
ALNS-A,Example5,5,0,destroy,destroy_worst_workers_30pct,4,0.07407407407407407,0,0.0,0.0,16.25,nan
ALNS-A,Example5,5,0,destroy,destroy_worst_days_30pct,5,0.09259259259259259,0,0.0,0.0,31.8,nan
ALNS-A,Example5,5,0,repair,repair_gecode_fast,23,0.42592592592592593,11,0.4782608695652174,0.7391304347826086,6.130434782608695,-2.272727272727273
ALNS-A,Example5,5,0,destroy,destroy_random_workers_20pct,13,0.24074074074074073,6,0.46153846153846156,0.7692307692307693,0.5384615384615384,-2.8333333333333335
ALNS-A,Example5,5,0,destroy,destroy_random_days_20pct,1,0.018518518518518517,0,0.0,0.0,17.0,nan
ALNS-A,Example5,5,0,destroy,destroy_all_forbidden_sequences,2,0.037037037037037035,1,0.5,1.0,-1.0,-2.0
ALNS-A,Example5,5,0,repair,repair_gecode_long,2,0.037037037037037035,0,0.0,1.0,0.0,nan
ALNS-A,Example5,5,1,destroy,destroy_random_window_20pct,12,0.19672131147540983,2,0.16666666666666666,0.8333333333333334,2.1818181818181817,-1.5
ALNS-A,Example5,5,1,repair,repair_chuffed_fast,22,0.36065573770491804,2,0.09090909090909091,0.5909090909090909,7.9523809523809526,-4.0
ALNS-A,Example5,5,1,destroy,destroy_worst_workers_30pct,7,0.11475409836065574,1,0.14285714285714285,0.14285714285714285,17.714285714285715,-10.0
ALNS-A,Example5,5,1,repair,repair_gecode_fast,20,0.32786885245901637,4,0.2,0.6,9.55,-4.5
ALNS-A,Example5,5,1,destroy,destroy_worst_days_10pct,1,0.01639344262295082,1,1.0,1.0,-6.0,-6.0
ALNS-A,Example5,5,1,destroy,destroy_worst_workers_10pct,2,0.03278688524590164,1,0.5,1.0,-2.0,-4.0
